地名,センター,普通ごみ,容器包装プラスチック,資源ごみ,古紙・衣類
網島町,北部環境事業センター,火 金,水,土,土2 土4
内代町,北部環境事業センター,月 木,火,金,火2 火4
片町,北部環境事業センター,火 金,水,土,土2 土4
毛馬町,北部環境事業センター,水 土,月,木,月2 月4
善源寺町,北部環境事業センター,月 木,火,金,金2 金4
大東町,北部環境事業センター,水 土,月,木,月2 月4
高倉町,北部環境事業センター,月 木,火,金,火2 火4
友渕町,北部環境事業センター,月 木,火,金,金2 金4
中野町1〜4丁目,北部環境事業センター,火 金,水,土,水2 水4
中野町5丁目,北部環境事業センター,火 金,月,木,木2 木4
東野田町1〜4丁目,北部環境事業センター,火 金,水,土,土2 土4
東野田町5丁目,北部環境事業センター,火 金,月,木,木2 木4
都島北通,北部環境事業センター,月 木,火,金,火2 火4
都島中通,北部環境事業センター,火 金,月,木,木2 木4
都島本通,北部環境事業センター,火 金,月,木,木2 木4
都島南通,北部環境事業センター,火 金,月,木,木2 木4
御幸町,北部環境事業センター,月 木,火,金,火2 火4
